,unit,carriage,destination,origin,2019
733,MIO_TKM,HIRE,FR,PT,1603.0
734,MIO_TKM,HIRE,FR,RO,1308.0
735,MIO_TKM,HIRE,FR,SE,30.0
736,MIO_TKM,HIRE,FR,SI,528.0
737,MIO_TKM,HIRE,FR,SK,789.0
738,MIO_TKM,HIRE,FR,UK,653.0
753,MIO_TKM,HIRE,HR,AT,6.0
754,MIO_TKM,HIRE,HR,BE,
755,MIO_TKM,HIRE,HR,BG,
756,MIO_TKM,HIRE,HR,CY,
757,MIO_TKM,HIRE,HR,CZ,24.0
758,MIO_TKM,HIRE,HR,DE,
759,MIO_TKM,HIRE,HR,DK,
760,MIO_TKM,HIRE,HR,EE,
761,MIO_TKM,HIRE,HR,EL,24.0
762,MIO_TKM,HIRE,HR,ES,
763,MIO_TKM,HIRE,HR,FI,
764,MIO_TKM,HIRE,HR,FR,
765,MIO_TKM,HIRE,HR,HU,106.0
766,MIO_TKM,HIRE,HR,IT,61.0
767,MIO_TKM,HIRE,HR,LT,1.0
768,MIO_TKM,HIRE,HR,LV,
769,MIO_TKM,HIRE,HR,NL,
770,MIO_TKM,HIRE,HR,NO,
771,MIO_TKM,HIRE,HR,PL,442.0
772,MIO_TKM,HIRE,HR,PT,
773,MIO_TKM,HIRE,HR,RO,35.0
774,MIO_TKM,HIRE,HR,SE,
775,MIO_TKM,HIRE,HR,SI,150.0
776,MIO_TKM,HIRE,HR,SK,27.0
777,MIO_TKM,HIRE,HR,UK,
778,MIO_TKM,HIRE,HU,AT,42.0
779,MIO_TKM,HIRE,HU,BE,3.0
780,MIO_TKM,HIRE,HU,BG,145.0
781,MIO_TKM,HIRE,HU,CH,
782,MIO_TKM,HIRE,HU,CZ,278.0
783,MIO_TKM,HIRE,HU,DE,80.0
784,MIO_TKM,HIRE,HU,DK,
785,MIO_TKM,HIRE,HU,EE,
786,MIO_TKM,HIRE,HU,EL,115.0
787,MIO_TKM,HIRE,HU,ES,195.0
789,MIO_TKM,HIRE,HU,FI,
790,MIO_TKM,HIRE,HU,FR,2.0
791,MIO_TKM,HIRE,HU,HR,139.0
792,MIO_TKM,HIRE,HU,IE,
793,MIO_TKM,HIRE,HU,IT,46.0
794,MIO_TKM,HIRE,HU,LI,
795,MIO_TKM,HIRE,HU,LT,112.0
796,MIO_TKM,HIRE,HU,LU,0.0
797,MIO_TKM,HIRE,HU,LV,10.0
798,MIO_TKM,HIRE,HU,NL,12.0
799,MIO_TKM,HIRE,HU,NO,
800,MIO_TKM,HIRE,HU,PL,1973.0
801,MIO_TKM,HIRE,HU,PT,70.0
802,MIO_TKM,HIRE,HU,RO,480.0
803,MIO_TKM,HIRE,HU,SE,
804,MIO_TKM,HIRE,HU,SI,202.0
805,MIO_TKM,HIRE,HU,SK,468.0
806,MIO_TKM,HIRE,HU,UK,4.0
807,MIO_TKM,HIRE,IE,AT,
808,MIO_TKM,HIRE,IE,BE,3.0
809,MIO_TKM,HIRE,IE,CH,
810,MIO_TKM,HIRE,IE,CZ,14.0
811,MIO_TKM,HIRE,IE,DE,
812,MIO_TKM,HIRE,IE,DK,
813,MIO_TKM,HIRE,IE,EE,
814,MIO_TKM,HIRE,IE,EL,
815,MIO_TKM,HIRE,IE,ES,54.0
817,MIO_TKM,HIRE,IE,FI,
818,MIO_TKM,HIRE,IE,FR,
819,MIO_TKM,HIRE,IE,HR,
820,MIO_TKM,HIRE,IE,HU,8.0
821,MIO_TKM,HIRE,IE,IT,
822,MIO_TKM,HIRE,IE,LT,49.0
823,MIO_TKM,HIRE,IE,LU,
824,MIO_TKM,HIRE,IE,LV,
825,MIO_TKM,HIRE,IE,NL,64.0
826,MIO_TKM,HIRE,IE,NO,
827,MIO_TKM,HIRE,IE,PL,223.0
828,MIO_TKM,HIRE,IE,PT,
829,MIO_TKM,HIRE,IE,RO,
830,MIO_TKM,HIRE,IE,SE,
831,MIO_TKM,HIRE,IE,SI,
832,MIO_TKM,HIRE,IE,SK,
833,MIO_TKM,HIRE,IE,UK,797.0
847,MIO_TKM,HIRE,IT,AT,806.0
848,MIO_TKM,HIRE,IT,BE,135.0
849,MIO_TKM,HIRE,IT,BG,353.0
850,MIO_TKM,HIRE,IT,CH,43.0
851,MIO_TKM,HIRE,IT,CY,0.0
852,MIO_TKM,HIRE,IT,CZ,457.0
853,MIO_TKM,HIRE,IT,DE,1649.0
854,MIO_TKM,HIRE,IT,DK,56.0
855,MIO_TKM,HIRE,IT,EE,41.0
856,MIO_TKM,HIRE,IT,EL,892.0
857,MIO_TKM,HIRE,IT,ES,3729.0
859,MIO_TKM,HIRE,IT,FI,
860,MIO_TKM,HIRE,IT,FR,981.0
861,MIO_TKM,HIRE,IT,HR,997.0
862,MIO_TKM,HIRE,IT,HU,1421.0
863,MIO_TKM,HIRE,IT,IE,38.0
864,MIO_TKM,HIRE,IT,LI,
865,MIO_TKM,HIRE,IT,LT,1178.0
866,MIO_TKM,HIRE,IT,LU,24.0
867,MIO_TKM,HIRE,IT,LV,216.0
868,MIO_TKM,HIRE,IT,NL,370.0
869,MIO_TKM,HIRE,IT,NO,6.0
870,MIO_TKM,HIRE,IT,PL,6063.0
871,MIO_TKM,HIRE,IT,PT,374.0
872,MIO_TKM,HIRE,IT,RO,1703.0
873,MIO_TKM,HIRE,IT,SE,14.0
874,MIO_TKM,HIRE,IT,SI,1216.0
875,MIO_TKM,HIRE,IT,SK,791.0
876,MIO_TKM,HIRE,IT,UK,170.0
894,MIO_TKM,HIRE,LI,AT,4.0
895,MIO_TKM,HIRE,LI,BE,
896,MIO_TKM,HIRE,LI,CH,12.0
897,MIO_TKM,HIRE,LI,CZ,
898,MIO_TKM,HIRE,LI,DE,17.0
899,MIO_TKM,HIRE,LI,EE,
900,MIO_TKM,HIRE,LI,ES,29.0
901,MIO_TKM,HIRE,LI,FR,
902,MIO_TKM,HIRE,LI,HR,
903,MIO_TKM,HIRE,LI,HU,3.0
904,MIO_TKM,HIRE,LI,IT,
905,MIO_TKM,HIRE,LI,NL,8.0
906,MIO_TKM,HIRE,LI,NO,
907,MIO_TKM,HIRE,LI,PL,
908,MIO_TKM,HIRE,LI,SI,5.0
909,MIO_TKM,HIRE,LI,SK,
910,MIO_TKM,HIRE,LT,AT,
911,MIO_TKM,HIRE,LT,BE,
912,MIO_TKM,HIRE,LT,BG,12.0
913,MIO_TKM,HIRE,LT,CY,0.0
914,MIO_TKM,HIRE,LT,CZ,4.0
915,MIO_TKM,HIRE,LT,DE,8.0
916,MIO_TKM,HIRE,LT,DK,
917,MIO_TKM,HIRE,LT,EE,29.0
918,MIO_TKM,HIRE,LT,EL,
919,MIO_TKM,HIRE,LT,ES,4.0
920,MIO_TKM,HIRE,LT,FI,
921,MIO_TKM,HIRE,LT,FR,
922,MIO_TKM,HIRE,LT,HR,11.0
923,MIO_TKM,HIRE,LT,HU,4.0
924,MIO_TKM,HIRE,LT,IE,
925,MIO_TKM,HIRE,LT,IT,
926,MIO_TKM,HIRE,LT,LV,178.0
927,MIO_TKM,HIRE,LT,NL,6.0
928,MIO_TKM,HIRE,LT,NO,
929,MIO_TKM,HIRE,LT,PL,1224.0
930,MIO_TKM,HIRE,LT,PT,
931,MIO_TKM,HIRE,LT,RO,32.0
932,MIO_TKM,HIRE,LT,SE,
933,MIO_TKM,HIRE,LT,SI,8.0
934,MIO_TKM,HIRE,LT,SK,
935,MIO_TKM,HIRE,LT,UK,3.0
936,MIO_TKM,HIRE,LU,AT,1.0
937,MIO_TKM,HIRE,LU,BE,190.0
938,MIO_TKM,HIRE,LU,BG,
939,MIO_TKM,HIRE,LU,CH,0.0
940,MIO_TKM,HIRE,LU,CZ,0.0
941,MIO_TKM,HIRE,LU,DE,506.0
942,MIO_TKM,HIRE,LU,DK,
943,MIO_TKM,HIRE,LU,EE,
944,MIO_TKM,HIRE,LU,EL,
945,MIO_TKM,HIRE,LU,ES,11.0
947,MIO_TKM,HIRE,LU,FI,
948,MIO_TKM,HIRE,LU,FR,240.0
949,MIO_TKM,HIRE,LU,HR,14.0
